Target Distance: 50, Step Size: 2
90: (x,y) = (17.4066, 10.0395)
91: (x,y) = (18.5821, 11.6575)
92: (x,y) = (17.7369, 9.84491)
93: (x,y) = (16.0595, 10.9342)
94: (x,y) = (16.6443, 12.8468)
95: (x,y) = (16.3659, 10.8663)
96: (x,y) = (15.8483, 12.7981)
97: (x,y) = (17.7027, 12.0489)
98: (x,y) = (15.9368, 11.11)
99: (x,y) = (14.4981, 9.72064)
100: (x,y) = (12.6071, 9.0695)
101: (x,y) = (10.9688, 10.2167)
102: (x,y) = (10.6904, 12.1972)
103: (x,y) = (11.3745, 10.3178)
104: (x,y) = (11.6528, 8.33727)
105: (x,y) = (9.70406, 7.88737)
106: (x,y) = (8.04598, 6.76898)
107: (x,y) = (8.59726, 8.6915)
108: (x,y) = (9.50524, 10.4735)
109: (x,y) = (7.5565, 10.0236)
110: (x,y) = (9.5565, 10.0236)
111: (x,y) = (8.27092, 8.49153)
112: (x,y) = (9.33076, 10.1876)
113: (x,y) = (11.3159, 10.4314)
114: (x,y) = (10.9686, 8.46175)
115: (x,y) = (12.6459, 7.37247)
116: (x,y) = (10.8967, 6.40285)
117: (x,y) = (12.872, 6.71572)
118: (x,y) = (14.6213, 5.7461)
119: (x,y) = (15.9334, 4.23668)
120: (x,y) = (16.903, 2.48744)
121: (x,y) = (18.794, 3.13858)
122: (x,y) = (19.5108, 5.00574)
123: (x,y) = (18.0721, 6.39505)
124: (x,y) = (16.0721, 6.39505)
125: (x,y) = (14.8135, 7.94935)
126: (x,y) = (15.4315, 6.04723)
127: (x,y) = (16.5208, 4.36989)
128: (x,y) = (18.5098, 4.16083)
129: (x,y) = (16.6304, 4.84488)
130: (x,y) = (16.3867, 2.85978)
131: (x,y) = (16.4216, 4.85948)
132: (x,y) = (16.04, 2.89622)
133: (x,y) = (18.04, 2.89622)
134: (x,y) = (18.948, 4.67824)
135: (x,y) = (18.8782, 2.67946)
136: (x,y) = (20.4754, 3.88309)
137: (x,y) = (19.8574, 5.7852)
138: (x,y) = (21.143, 4.25311)
139: (x,y) = (22.6524, 5.56523)
140: (x,y) = (24.5842, 6.08287)
141: (x,y) = (26.1815, 7.2865)
142: (x,y) = (24.201, 7.00815)
143: (x,y) = (22.7868, 5.59394)
144: (x,y) = (24.6411, 6.34315)
145: (x,y) = (24.8502, 8.33219)
146: (x,y) = (23.2119, 7.18504)
147: (x,y) = (21.2423, 6.83774)
148: (x,y) = (21.7935, 8.76027)
149: (x,y) = (23.7254, 9.2779)
150: (x,y) = (21.8344, 9.92904)
151: (x,y) = (20.9891, 11.7417)
152: (x,y) = (20.9542, 13.7414)
153: (x,y) = (19.7787, 15.3594)
154: (x,y) = (17.9376, 16.1408)
155: (x,y) = (18.216, 14.1603)
156: (x,y) = (16.7297, 12.8221)
157: (x,y) = (17.5432, 10.995)
158: (x,y) = (15.8111, 9.99496)
159: (x,y) = (17.2253, 11.4092)
160: (x,y) = (15.3028, 10.8579)
161: (x,y) = (17.1938, 10.2068)
162: (x,y) = (18.7033, 8.89464)
163: (x,y) = (17.6732, 7.18031)
164: (x,y) = (19.2912, 8.35588)
165: (x,y) = (17.694, 9.55951)
166: (x,y) = (15.9281, 8.62057)
167: (x,y) = (13.9962, 9.13821)
168: (x,y) = (14.9042, 10.9202)
169: (x,y) = (13.0132, 11.5714)
170: (x,y) = (13.083, 13.5701)
171: (x,y) = (15.0055, 13.0189)
172: (x,y) = (14.6239, 14.9821)
173: (x,y) = (15.3731, 13.1277)
174: (x,y) = (14.3731, 11.3957)
175: (x,y) = (12.546, 12.2092)
176: (x,y) = (11.5764, 13.9584)
177: (x,y) = (12.8077, 12.3824)
178: (x,y) = (12.8077, 10.3824)
179: (x,y) = (14.8065, 10.3126)
180: (x,y) = (15.7761, 12.0618)
181: (x,y) = (15.4977, 14.0424)
182: (x,y) = (13.7485, 13.0727)
183: (x,y) = (14.2998, 14.9953)
184: (x,y) = (16.1408, 14.2138)
185: (x,y) = (14.9652, 15.8318)
186: (x,y) = (16.1965, 17.4079)
187: (x,y) = (17.7508, 16.1492)
188: (x,y) = (18.2685, 18.0811)
189: (x,y) = (20.2682, 18.116)
190: (x,y) = (19.0645, 16.5187)
191: (x,y) = (19.4118, 18.4883)
192: (x,y) = (21.0699, 17.3699)
193: (x,y) = (19.0809, 17.1609)
194: (x,y) = (18.0809, 15.4288)
195: (x,y) = (18.0111, 13.43)
196: (x,y) = (17.8715, 11.4349)
197: (x,y) = (19.2355, 12.8976)
198: (x,y) = (17.6175, 11.7221)
199: (x,y) = (16.4704, 13.3604)
200: (x,y) = (15.3232, 11.7221)
201: (x,y) = (14.5417, 9.88105)
202: (x,y) = (13.8906, 11.7721)
203: (x,y) = (14.2379, 9.80247)
204: (x,y) = (12.6836, 8.54383)
205: (x,y) = (12.2678, 10.5001)
206: (x,y) = (10.4552, 11.3454)
207: (x,y) = (12.1872, 10.3454)
208: (x,y) = (12.9364, 12.1997)
209: (x,y) = (14.9364, 12.1997)
210: (x,y) = (12.9668, 12.547)
211: (x,y) = (13.2797, 14.5224)
212: (x,y) = (11.5138, 13.5835)
213: (x,y) = (12.8259, 15.0929)
214: (x,y) = (13.5099, 13.2135)
215: (x,y) = (12.0005, 11.9014)
216: (x,y) = (10.8534, 13.5397)
217: (x,y) = (9.29909, 14.7983)
218: (x,y) = (10.9764, 15.8876)
219: (x,y) = (11.5945, 17.7897)
220: (x,y) = (9.75345, 17.0082)
221: (x,y) = (11.1677, 15.594)
222: (x,y) = (12.3713, 13.9968)
223: (x,y) = (12.956, 15.9094)
224: (x,y) = (10.9928, 15.5278)
225: (x,y) = (9.39551, 16.7314)
226: (x,y) = (11.3081, 17.3161)
227: (x,y) = (9.89391, 18.7303)
228: (x,y) = (10.1376, 16.7452)
229: (x,y) = (8.17439, 17.1269)
230: (x,y) = (8.62429, 19.0756)
231: (x,y) = (9.10814, 21.0162)
232: (x,y) = (10.0161, 19.2342)
233: (x,y) = (11.9967, 18.9558)
234: (x,y) = (13.953, 18.54)
235: (x,y) = (11.9578, 18.4005)
236: (x,y) = (13.2699, 16.8911)
237: (x,y) = (13.954, 15.0117)
238: (x,y) = (12.2766, 13.9224)
239: (x,y) = (10.838, 15.3117)
240: (x,y) = (8.99695, 16.0932)
241: (x,y) = (10.824, 16.9067)
242: (x,y) = (9.33775, 18.2449)
243: (x,y) = (11.2783, 18.7288)
244: (x,y) = (9.96623, 17.2194)
245: (x,y) = (9.96623, 15.2194)
246: (x,y) = (8.28888, 14.1301)
247: (x,y) = (10.0709, 15.0381)
248: (x,y) = (8.10764, 14.6564)
249: (x,y) = (10.0203, 15.2412)
250: (x,y) = (8.65626, 16.7039)
251: (x,y) = (9.43772, 18.5449)
252: (x,y) = (11.4268, 18.754)
253: (x,y) = (12.8654, 20.1433)
254: (x,y) = (14.788, 19.592)
255: (x,y) = (13.5566, 18.016)
256: (x,y) = (11.5643, 17.8417)
257: (x,y) = (13.1823, 19.0172)
258: (x,y) = (12.093, 20.6946)
259: (x,y) = (10.6303, 22.0586)
260: (x,y) = (8.63061, 22.0237)
261: (x,y) = (7.12119, 23.3358)
262: (x,y) = (6.94687, 25.3282)
263: (x,y) = (5.63476, 26.8376)
264: (x,y) = (3.64571, 26.6285)
265: (x,y) = (1.64693, 26.6983)
266: (x,y) = (-0.35185, 26.6285)
267: (x,y) = (0.766535, 28.2866)
268: (x,y) = (2.6337, 27.5699)
269: (x,y) = (0.975621, 28.6883)
270: (x,y) = (1.85236, 26.8907)
271: (x,y) = (0.234329, 25.7151)
272: (x,y) = (-1.42375, 26.8335)
273: (x,y) = (-2.76201, 25.3472)
274: (x,y) = (-4.75927, 25.2425)
275: (x,y) = (-4.61975, 27.2377)
276: (x,y) = (-5.52773, 25.4556)
277: (x,y) = (-3.61512, 24.8709)
278: (x,y) = (-2.30301, 26.3803)
279: (x,y) = (-3.39228, 24.703)
280: (x,y) = (-2.4843, 26.485)
281: (x,y) = (-0.593266, 27.1361)
282: (x,y) = (-2.00748, 28.5503)
283: (x,y) = (-2.28583, 30.5309)
284: (x,y) = (-0.329531, 30.9467)
285: (x,y) = (1.2885, 32.1223)
286: (x,y) = (-0.703886, 31.948)
287: (x,y) = (-2.63574, 31.4303)
288: (x,y) = (-4.47675, 30.6489)
289: (x,y) = (-4.99439, 32.5807)
290: (x,y) = (-4.02477, 34.33)
291: (x,y) = (-5.98106, 33.9141)
292: (x,y) = (-6.29393, 35.8895)
293: (x,y) = (-7.97127, 34.8002)
294: (x,y) = (-9.58931, 35.9758)
295: (x,y) = (-11.4565, 35.2591)
296: (x,y) = (-10.9726, 37.1997)
297: (x,y) = (-12.6307, 36.0813)
298: (x,y) = (-14.5625, 35.5636)
299: (x,y) = (-16.1598, 34.36)
300: (x,y) = (-15.1, 32.6639)
301: (x,y) = (-13.6613, 31.2746)
302: (x,y) = (-15.0755, 29.8604)
303: (x,y) = (-13.9284, 28.2221)
304: (x,y) = (-12.6697, 29.7764)
305: (x,y) = (-14.6697, 29.7764)
306: (x,y) = (-13.1603, 31.0885)
307: (x,y) = (-14.599, 29.6992)
308: (x,y) = (-12.8014, 30.5759)
309: (x,y) = (-13.4854, 32.4553)
310: (x,y) = (-15.4487, 32.0737)
311: (x,y) = (-14.2731, 30.4556)
312: (x,y) = (-16.2728, 30.4207)
313: (x,y) = (-18.0854, 31.266)
314: (x,y) = (-16.1629, 30.7147)
315: (x,y) = (-15.1031, 29.0186)
316: (x,y) = (-13.8994, 30.6159)
317: (x,y) = (-11.9507, 30.166)
318: (x,y) = (-10.0486, 29.5479)
319: (x,y) = (-11.7447, 30.6078)
320: (x,y) = (-9.96267, 29.6998)
321: (x,y) = (-8.16508, 28.8231)
322: (x,y) = (-10.1214, 28.4072)
323: (x,y) = (-11.1812, 26.7111)
324: (x,y) = (-13.1809, 26.6762)
325: (x,y) = (-15.1442, 27.0578)
326: (x,y) = (-13.5469, 28.2615)
327: (x,y) = (-11.615, 28.7791)
328: (x,y) = (-9.69252, 28.2278)
329: (x,y) = (-8.25384, 26.8385)
330: (x,y) = (-6.26479, 26.6295)
331: (x,y) = (-6.68062, 24.6732)
332: (x,y) = (-7.68062, 22.9411)
333: (x,y) = (-8.88425, 21.3438)
334: (x,y) = (-9.97353, 23.0212)
335: (x,y) = (-8.53485, 21.6319)
336: (x,y) = (-7.41646, 23.2899)
337: (x,y) = (-7.6602, 21.3049)
338: (x,y) = (-6.15078, 19.9927)
339: (x,y) = (-4.19448, 19.5769)
340: (x,y) = (-5.22456, 21.2912)
341: (x,y) = (-3.41194, 22.1365)
342: (x,y) = (-4.19341, 20.2955)
343: (x,y) = (-5.76943, 19.0642)
344: (x,y) = (-7.23214, 20.4281)
345: (x,y) = (-8.69484, 21.7921)
346: (x,y) = (-8.04371, 23.6832)
347: (x,y) = (-8.72775, 25.5626)
348: (x,y) = (-6.72897, 25.6324)
349: (x,y) = (-8.72409, 25.4929)
350: (x,y) = (-10.6262, 24.8748)
351: (x,y) = (-9.81273, 26.7019)
352: (x,y) = (-11.8051, 26.8762)
353: (x,y) = (-10.147, 27.9946)
354: (x,y) = (-9.69715, 26.0459)
355: (x,y) = (-11.6098, 26.6306)
356: (x,y) = (-11.6796, 24.6318)
357: (x,y) = (-10.7099, 26.3811)
358: (x,y) = (-10.8842, 24.3887)
359: (x,y) = (-12.8839, 24.4236)
360: (x,y) = (-14.46, 25.6549)
361: (x,y) = (-13.4299, 27.3692)
362: (x,y) = (-12.6807, 29.2236)
363: (x,y) = (-14.358, 30.3129)
364: (x,y) = (-16.1073, 29.3433)
365: (x,y) = (-14.3929, 28.3132)
366: (x,y) = (-13.1616, 29.8892)
367: (x,y) = (-12.0432, 28.2311)
368: (x,y) = (-13.0128, 26.4819)
369: (x,y) = (-14.9761, 26.1003)
370: (x,y) = (-13.8289, 24.462)
371: (x,y) = (-11.9618, 23.7452)
372: (x,y) = (-10.0597, 24.3633)
373: (x,y) = (-9.98986, 26.3621)
374: (x,y) = (-11.7558, 27.301)
375: (x,y) = (-13.1198, 28.7637)
376: (x,y) = (-13.1896, 30.7625)
377: (x,y) = (-14.0663, 32.5601)
378: (x,y) = (-15.8789, 31.7148)
379: (x,y) = (-13.9383, 31.231)
380: (x,y) = (-15.197, 32.7853)
381: (x,y) = (-15.5786, 34.7485)
382: (x,y) = (-17.0413, 36.1125)
383: (x,y) = (-17.7253, 37.9919)
384: (x,y) = (-18.4421, 36.1248)
385: (x,y) = (-17.758, 38.0042)
386: (x,y) = (-19.3963, 36.857)
387: (x,y) = (-20.9057, 35.5449)
388: (x,y) = (-22.1094, 33.9476)
389: (x,y) = (-24.0412, 33.43)
390: (x,y) = (-26.0336, 33.2557)
391: (x,y) = (-24.4793, 34.5143)
392: (x,y) = (-24.1665, 32.5389)
393: (x,y) = (-26.147, 32.8173)
394: (x,y) = (-25.7997, 30.8477)
395: (x,y) = (-27.6268, 31.6611)
396: (x,y) = (-26.2628, 30.1984)
397: (x,y) = (-27.9589, 29.1386)
398: (x,y) = (-26.0795, 29.8226)
399: (x,y) = (-27.7938, 30.8527)
400: (x,y) = (-29.6482, 31.6019)
401: (x,y) = (-31.1345, 32.9402)
402: (x,y) = (-32.1646, 34.6545)
403: (x,y) = (-32.5119, 36.6241)
404: (x,y) = (-31.0732, 35.2348)
405: (x,y) = (-32.9858, 34.6501)
406: (x,y) = (-33.7993, 36.4772)
407: (x,y) = (-31.9199, 37.1612)
408: (x,y) = (-30.6886, 38.7372)
409: (x,y) = (-29.0503, 37.5901)
410: (x,y) = (-27.3182, 36.5901)
411: (x,y) = (-26.0596, 38.1444)
412: (x,y) = (-24.0644, 38.2839)
413: (x,y) = (-25.8303, 37.3449)
414: (x,y) = (-27.4686, 38.4921)
415: (x,y) = (-28.2821, 36.665)
416: (x,y) = (-29.6461, 35.2023)
417: (x,y) = (-29.2303, 33.246)
418: (x,y) = (-27.2379, 33.0717)
419: (x,y) = (-26.1781, 31.3756)
420: (x,y) = (-24.446, 30.3756)
421: (x,y) = (-23.6008, 32.1882)
422: (x,y) = (-25.4801, 32.8722)
423: (x,y) = (-27.4798, 32.9071)
424: (x,y) = (-25.9256, 31.6485)
425: (x,y) = (-24.2295, 32.7083)
426: (x,y) = (-24.7471, 30.7765)
427: (x,y) = (-26.0327, 29.2444)
428: (x,y) = (-24.3366, 28.1846)
429: (x,y) = (-24.8542, 30.1164)
430: (x,y) = (-22.8979, 29.7006)
431: (x,y) = (-23.0026, 27.7033)
432: (x,y) = (-22.6897, 25.7279)
433: (x,y) = (-20.7579, 25.2103)
434: (x,y) = (-18.8016, 25.6261)
435: (x,y) = (-20.2643, 24.2621)
436: (x,y) = (-21.9026, 23.115)
437: (x,y) = (-23.3168, 24.5292)
438: (x,y) = (-22.4716, 22.7166)
439: (x,y) = (-20.4825, 22.9256)
440: (x,y) = (-21.1337, 21.0346)
441: (x,y) = (-19.1385, 20.8951)
442: (x,y) = (-20.2857, 22.5334)
443: (x,y) = (-18.7536, 23.819)
444: (x,y) = (-17.3896, 22.3563)
445: (x,y) = (-18.6752, 23.8883)
446: (x,y) = (-20.5878, 24.4731)
447: (x,y) = (-21.7062, 22.815)
448: (x,y) = (-19.9086, 21.9383)
449: (x,y) = (-20.9684, 20.2422)
450: (x,y) = (-21.9684, 21.9742)
451: (x,y) = (-21.6901, 19.9937)
452: (x,y) = (-23.1528, 21.3577)
453: (x,y) = (-24.1528, 23.0897)
454: (x,y) = (-25.9799, 23.9032)
455: (x,y) = (-25.1984, 22.0622)
456: (x,y) = (-24.7826, 24.0185)
457: (x,y) = (-26.7677, 24.2622)
458: (x,y) = (-28.0263, 25.8165)
459: (x,y) = (-27.9565, 23.8177)
460: (x,y) = (-27.2725, 25.6971)
461: (x,y) = (-28.7588, 27.0354)
462: (x,y) = (-30.4549, 25.9756)
463: (x,y) = (-32.1322, 27.0648)
464: (x,y) = (-33.2506, 25.4068)
465: (x,y) = (-32.4691, 27.2478)
466: (x,y) = (-30.5204, 27.6977)
467: (x,y) = (-32.0525, 26.4121)
468: (x,y) = (-30.2705, 27.3201)
469: (x,y) = (-28.4884, 26.4121)
470: (x,y) = (-28.8357, 28.3817)
471: (x,y) = (-27.373, 29.7457)
472: (x,y) = (-25.8187, 31.0043)
473: (x,y) = (-26.7884, 29.2551)
474: (x,y) = (-28.5376, 30.2247)
475: (x,y) = (-27.0282, 31.5368)
476: (x,y) = (-25.0294, 31.6066)
477: (x,y) = (-25.8429, 33.4337)
478: (x,y) = (-24.3566, 34.772)
479: (x,y) = (-22.6605, 35.8318)
480: (x,y) = (-21.3222, 34.3455)
481: (x,y) = (-20.3833, 32.5797)
482: (x,y) = (-21.7726, 34.0183)
483: (x,y) = (-19.7753, 34.123)
484: (x,y) = (-17.896, 33.439)
485: (x,y) = (-15.9641, 33.9566)
486: (x,y) = (-15.2474, 35.8238)
487: (x,y) = (-17.0294, 34.9158)
488: (x,y) = (-17.0992, 32.917)
489: (x,y) = (-17.9759, 34.7146)
490: (x,y) = (-19.3399, 36.1773)
491: (x,y) = (-21.325, 35.9336)
492: (x,y) = (-21.3599, 37.9333)
493: (x,y) = (-19.7216, 36.7861)
494: (x,y) = (-21.7213, 36.821)
495: (x,y) = (-23.7018, 37.0993)
496: (x,y) = (-24.9874, 35.5673)
497: (x,y) = (-24.1739, 37.3944)
498: (x,y) = (-25.1129, 35.6285)
499: (x,y) = (-24.1129, 33.8964)
500: (x,y) = (-24.6305, 35.8283)
501: (x,y) = (-22.708, 36.3795)
502: (x,y) = (-22.2242, 34.4389)
503: (x,y) = (-23.3425, 32.7809)
504: (x,y) = (-23.0642, 34.7614)
505: (x,y) = (-22.8551, 36.7504)
506: (x,y) = (-21.0425, 35.9052)
507: (x,y) = (-22.4567, 37.3194)
508: (x,y) = (-24.4418, 37.5632)
509: (x,y) = (-22.7098, 36.5632)
510: (x,y) = (-21.0917, 35.3876)
511: (x,y) = (-21.3355, 37.3727)
512: (x,y) = (-21.0571, 39.3532)
513: (x,y) = (-23.0325, 39.0403)
514: (x,y) = (-21.5938, 40.4297)
515: (x,y) = (-20.4467, 42.068)
516: (x,y) = (-21.9561, 40.7559)
517: (x,y) = (-19.9756, 41.0342)
518: (x,y) = (-20.3229, 43.0038)
519: (x,y) = (-18.7686, 41.7452)
520: (x,y) = (-17.1713, 42.9488)
521: (x,y) = (-19.0938, 42.3975)
522: (x,y) = (-19.1985, 40.4003)
523: (x,y) = (-20.4841, 38.8682)
524: (x,y) = (-20.4492, 36.8685)
525: (x,y) = (-21.5963, 35.2302)
526: (x,y) = (-19.6942, 35.8482)
527: (x,y) = (-21.693, 35.7784)
528: (x,y) = (-20.4894, 34.1811)
529: (x,y) = (-20.5592, 36.1799)
530: (x,y) = (-21.2103, 34.2889)
531: (x,y) = (-20.1505, 32.5928)
532: (x,y) = (-20.6004, 34.5415)
533: (x,y) = (-21.3496, 36.3959)
534: (x,y) = (-22.6878, 37.8822)
535: (x,y) = (-24.3059, 39.0578)
536: (x,y) = (-26.1035, 39.9345)
537: (x,y) = (-25.3867, 41.8017)
538: (x,y) = (-23.8107, 43.033)
539: (x,y) = (-21.9981, 43.8782)
540: (x,y) = (-23.9786, 43.5999)
541: (x,y) = (-24.1877, 45.5889)
After 541 steps, the subject has the following location:
(x,y) = (-24.1877, 45.5889)
 or
(51.6081, 2.05859)
Average outward distance per step = 0.0953939
